Instance,claspfolio
BF17_cpmp_20_5_60_12_36_10,36000.0000
cv_data3-8-7,1.0640
BF17_cpmp_20_5_60_12_36_12,0.0240
LC3b_lc3b_1,359.9300
LC3b_lc3b_5,0.4080
LC3b_lc3b_4,12.3050
LC3b_lc3b_6,0.4840
LC3b_lc3b_9,74.4530
LC3b_lc3b_8,399.9730
cv_data5-8-19,2413.1110
BF20_cpmp_20_5_60_24_45_8,0.0040
cv_data5-4-38,28.1620
cv_data4-7-22,179.4910
BF4_cpmp_16_5_48_20_36_9,0.0000
cv_data4-4-21,0.2360
cv_data4-4-20,2.0680
cv_data4-4-23,9.3490
cv_data4-4-25,11.0570
cv_data4-4-24,2.0560
cv_data4-4-27,6.0040
cv_data4-4-29,0.3280
cv_data4-4-28,0.4840
cv_data5-7-40,1961.8830
cv_data4-7-28,0.3640
BF20_cpmp_20_5_60_24_45_1,0.0040
cv_data5-4-33,29.7340
cv_data5-6-33,2126.2570
cv_data5-6-31,1421.4570
cv_data5-6-30,696.0280
cv_data5-6-37,3195.6480
cv_data5-6-35,2689.4080
cv_data4-6-40,11.8490
LC2b_lc2b_9,74.3730
cv_data5-4-34,976.6330
cv_data5-4-37,1.7320
BF24_cpmp_20_5_80_32_60_13,296.0830
BF24_cpmp_20_5_80_32_60_17,280.9660
BF3_cpmp_16_5_48_20_29_20,3446.5710
cv_data3-7-18,0.2160
BF4_cpmp_16_5_48_20_36_10,0.0040
BF4_cpmp_16_5_48_20_36_11,36000.0000
BF4_cpmp_16_5_48_20_36_13,0.0040
BF4_cpmp_16_5_48_20_36_14,0.3320
BF4_cpmp_16_5_48_20_36_15,0.0040
BF4_cpmp_16_5_48_20_36_16,0.0040
BF4_cpmp_16_5_48_20_36_17,8.8930
BF4_cpmp_16_5_48_20_36_18,0.4240
BF4_cpmp_16_5_48_20_36_19,0.0040
BF1_cpmp_16_5_48_10_29_14,0.7640
BF1_cpmp_16_5_48_10_29_15,106.7550
BF1_cpmp_16_5_48_10_29_17,0.0080
BF2_cpmp_16_5_48_10_36_9,0.5120
BF1_cpmp_16_5_48_10_29_12,36000.0000
LC2b_lc2b_4,50.0510
BF1_cpmp_16_5_48_10_29_18,0.0960
BF1_cpmp_16_5_48_10_29_19,0.0040
cv_data4-5-19,0.5600
cv_data4-5-12,0.7720
cv_data4-5-17,66.9760
cv_data4-5-15,5.9680
BF20_cpmp_20_5_60_24_45_17,36000.0000
BF21_cpmp_20_5_80_16_48_3,36000.0000
BF21_cpmp_20_5_80_16_48_2,3.6040
BF21_cpmp_20_5_80_16_48_5,101.5540
BF21_cpmp_20_5_80_16_48_4,5.5760
BF24_cpmp_20_5_80_32_60_8,36000.0000
BF21_cpmp_20_5_80_16_48_9,15.2610
BF21_cpmp_20_5_80_16_48_8,17.9330
BF24_cpmp_20_5_80_32_60_2,36000.0000
BF5_cpmp_16_5_64_13_39_8,6.7200
BF5_cpmp_16_5_64_13_39_9,0.8320
BF5_cpmp_16_5_64_13_39_2,95.3540
BF5_cpmp_16_5_64_13_39_3,36000.0000
BF5_cpmp_16_5_64_13_39_1,228.5900
BF5_cpmp_16_5_64_13_39_4,5.6000
BF5_cpmp_16_5_64_13_39_5,7.0560
cv_data3-8-17,0.0080
cv_data3-6-26,0.2640
cv_data3-6-24,0.1880
BF26_cpmp_20_8_96_20_72_5,36000.0000
BF27_cpmp_20_8_96_39_58_12,359.0540
cv_data5-9-4,1466.8400
BF7_cpmp_16_5_64_26_39_16,55.9470
BF10_cpmp_16_8_77_16_58_3,78.1210
BF1_cpmp_16_5_48_10_29_3,36000.0000
BF11_cpmp_16_8_77_31_47_6,1121.7860
BF11_cpmp_16_8_77_31_47_7,758.8150
cv_data5-5-38,29.4620
cv_data5-5-39,189.1400
cv_data5-5-36,638.1000
cv_data5-5-37,145.5570
cv_data5-5-32,667.8180
cv_data5-5-33,404.6330
cv_data5-5-30,1168.2730
cv_data5-5-31,761.4960
BF6_cpmp_16_5_64_13_48_9,8.9170
BF6_cpmp_16_5_64_13_48_8,76.4810
BF6_cpmp_16_5_64_13_48_7,9.7290
BF6_cpmp_16_5_64_13_48_6,36000.0000
BF6_cpmp_16_5_64_13_48_4,36000.0000
BF6_cpmp_16_5_64_13_48_3,1.9720
BF6_cpmp_16_5_64_13_48_2,8.4650
BF6_cpmp_16_5_64_13_48_1,11.8610
BF2_cpmp_16_5_48_10_36_13,48.1270
BF2_cpmp_16_5_48_10_36_12,0.0040
BF2_cpmp_16_5_48_10_36_11,36000.0000
BF12_cpmp_16_8_77_31_58_14,2816.6520
BF2_cpmp_16_5_48_10_36_17,0.0040
BF2_cpmp_16_5_48_10_36_15,0.0600
BF2_cpmp_16_5_48_10_36_14,36000.0000
cv_data5-9-38,1108.9170
BF2_cpmp_16_5_48_10_36_18,0.0040
cv_data4-6-16,12.1650
cv_data4-6-14,0.0520
cv_data4-6-15,2.8080
cv_data4-6-12,4.8560
cv_data4-6-13,5.8200
cv_data4-6-10,0.2480
cv_data4-6-11,0.4200
cv_data4-6-18,31.8700
cv_data4-6-19,7.9440
cv_data5-4-3,187.9400
BF18_cpmp_20_5_60_12_45_4,0.0600
BF19_cpmp_20_5_60_24_36_10,321.7640
BF19_cpmp_20_5_60_24_36_11,0.0040
BF19_cpmp_20_5_60_24_36_14,0.0360
BF19_cpmp_20_5_60_24_36_15,247.0870
BF19_cpmp_20_5_60_24_36_16,36000.0000
BF19_cpmp_20_5_60_24_36_17,36000.0000
BF19_cpmp_20_5_60_24_36_18,0.0160
cv_data5-4-30,2.0400
BF20_cpmp_20_5_60_24_45_2,36000.0000
cv_data5-4-32,15.6690
cv_data5-4-35,128.5640
